Start Migration
2
>>>>>>>>>>>>>>>>>>>>>>>>>>Add Server<<<<<<<<<<<<<<<<<<<<<<<<<<<
OK
OK
kvrockskvrockskvrockskvrockskvrocksnode1 0.0.0.0 40001
Adding nodes: [{'host': '127.0.0.1', 'port': '40002', 'master': None}]
Old topo: kvrockskvrockskvrockskvrockskvrocksnode1 0.0.0.0 40001 master - 0-16383 

Finished updating topo, version number: 2
b'OK'
Finished
>>>>>>>>>>>>>>>>>>>>>>>>>>Load Balance<<<<<<<<<<<<<<<<<<<<<<<<<
Migration method: 2
Cluster version: 5100 Setting Response: OK 	 Client ID: 6
Cluster version: 5200 Setting Response: OK 	 Client ID: 14
Cluster version: 5200 Setting Response: OK 	 Client ID: 6
Cluster version: 5300 Setting Response: OK 	 Client ID: 14
Cluster version: 5300 Setting Response: OK 	 Client ID: 6
Cluster version: 5400 Setting Response: OK 	 Client ID: 14
Cluster version: 5400 Setting Response: OK 	 Client ID: 6
Cluster version: 5500 Setting Response: OK 	 Client ID: 14
Cluster version: 5500 Setting Response: OK 	 Client ID: 6
Cluster version: 5600 Setting Response: OK 	 Client ID: 14
Cluster version: 5600 Setting Response: OK 	 Client ID: 6
Cluster version: 5700 Setting Response: OK 	 Client ID: 14
Cluster version: 5700 Setting Response: OK 	 Client ID: 6
Cluster version: 5800 Setting Response: OK 	 Client ID: 14
Cluster version: 5800 Setting Response: OK 	 Client ID: 6
Cluster version: 5900 Setting Response: OK 	 Client ID: 14
Cluster version: 5900 Setting Response: OK 	 Client ID: 6
Cluster version: 6000 Setting Response: OK 	 Client ID: 14
Cluster version: 6000 Setting Response: OK 	 Client ID: 6
Cluster version: 6100 Setting Response: OK 	 Client ID: 14
Cluster version: 6100 Setting Response: OK 	 Client ID: 6
Cluster version: 6200 Setting Response: OK 	 Client ID: 14
Cluster version: 6200 Setting Response: OK 	 Client ID: 6
Cluster version: 6300 Setting Response: OK 	 Client ID: 14
Cluster version: 6300 Setting Response: OK 	 Client ID: 6
Cluster version: 6400 Setting Response: OK 	 Client ID: 14
Cluster version: 6400 Setting Response: OK 	 Client ID: 6
Cluster version: 6500 Setting Response: OK 	 Client ID: 14
Cluster version: 6500 Setting Response: OK 	 Client ID: 6
Cluster version: 6600 Setting Response: OK 	 Client ID: 14
Cluster version: 6600 Setting Response: OK 	 Client ID: 6
Cluster version: 6700 Setting Response: OK 	 Client ID: 14
Cluster version: 6700 Setting Response: OK 	 Client ID: 6
Cluster version: 6800 Setting Response: OK 	 Client ID: 14
Cluster version: 6800 Setting Response: OK 	 Client ID: 6
Cluster version: 6900 Setting Response: OK 	 Client ID: 14
Cluster version: 6900 Setting Response: OK 	 Client ID: 6
Cluster version: 7000 Setting Response: OK 	 Client ID: 14
Cluster version: 7000 Setting Response: OK 	 Client ID: 6
Cluster version: 7100 Setting Response: OK 	 Client ID: 14
Cluster version: 7100 Setting Response: OK 	 Client ID: 6
Cluster version: 7200 Setting Response: OK 	 Client ID: 14
Cluster version: 7200 Setting Response: OK 	 Client ID: 6
Cluster version: 7300 Setting Response: OK 	 Client ID: 14
Cluster version: 7300 Setting Response: OK 	 Client ID: 6
Cluster version: 7400 Setting Response: OK 	 Client ID: 14
Cluster version: 7400 Setting Response: OK 	 Client ID: 6
Cluster version: 7500 Setting Response: OK 	 Client ID: 14
Cluster version: 7500 Setting Response: OK 	 Client ID: 6
Cluster version: 7600 Setting Response: OK 	 Client ID: 14
Cluster version: 7600 Setting Response: OK 	 Client ID: 6
Cluster version: 7700 Setting Response: OK 	 Client ID: 14
Cluster version: 7700 Setting Response: OK 	 Client ID: 6
Cluster version: 7800 Setting Response: OK 	 Client ID: 14
Cluster version: 7800 Setting Response: OK 	 Client ID: 6
Cluster version: 7900 Setting Response: OK 	 Client ID: 14
Cluster version: 7900 Setting Response: OK 	 Client ID: 6
Cluster version: 8000 Setting Response: OK 	 Client ID: 14
Cluster version: 8000 Setting Response: OK 	 Client ID: 6
Cluster version: 8100 Setting Response: OK 	 Client ID: 14
Cluster version: 8100 Setting Response: OK 	 Client ID: 6
Migration Finished
